CompanyName,phone,streetAddress,city
Southland Ambulance,(714) 891-2601,12235 Beach Blvd Ste 3b,"Stanton, CA 90680"
Huntington Ambulance,(714) 325-0363,17672 Wrightwood Ln,"Huntington Beach, CA 92649"
Doctor's Ambulance,(714) 751-6601,Harbor Blvd,"Costa Mesa, CA 92626"
Seal's Ambulance Service,(949) 548-3456,2131 Placentia Ave,"Costa Mesa, CA 92627"
Lifeline Ambulance,(714) 636-3655,12752 Garden Grove Blvd Ste 101,"Garden Grove, CA 92843"
Medline Inc,(714) 685-0755,2328 N Batavia St,"Orange, CA 92865"
Horizon Ambulance,(714) 630-2486,1187 N Tustin Ave,"Anaheim, CA 92807"
Lynch Ambulance,(714) 876-2622,2950 E La Jolla St,"Anaheim, CA 92806"
Impulse Ambulance Inc,(714) 758-1369,1120 W La Palma Ave,"Anaheim, CA 92801"
Shuttlemed Inc,(714) 939-7849,1601 S Sinclair St Ste J,"Anaheim, CA 92806"
Advance Access Ride,(951) 271-3992,2045 Compton Ave Ste 203,"Corona, CA 92881"
Global Care Surgery Center,(714) 531-7730,15606 Brookhurst St Ste A,"Westminster, CA 92683"
Medical Guardian,(800) 227-0919,-,-
Orange Fire Department,(714) 288-2500,176 S Grand St,"Orange, CA 92866"